"gamename","categoryname","platformname","regionname","place","time","date","video","comment"
"Super Solitaire","Free Cell","Super Nintendo","",11,251.0,"2021-08-29","https://youtu.be/FnyM3XdZ64A","Played on an SNS-001 with SD2SNES and gamepad."
"Super Solitaire","Golf","Super Nintendo","",4,72.0,"2021-08-29","https://youtu.be/EnAiEkuWK8Q","Played on an SNS-001 with SD2SNES and gamepad."
"Super Solitaire","Klondike","Super Nintendo","",7,140.0,"2021-08-28","https://youtu.be/7pADwt4V-Js","Played on an SNS-001 with SD2SNES and gamepad."
"Super Solitaire","Poker","Super Nintendo","",4,0.1,"2021-08-28","https://youtu.be/3dP4e1yJXLs","Played on an SNS-001 with SD2SNES and gamepad."
"Alien Crush","10 Million Points","TurboGrafx-16/PC Engine","JPN / NTSC",1,498.0,"2021-07-23","https://www.youtube.com/watch?v=rE6Gz2wrWYY","Played on a TG-16 with TBED."
"Alien Crush","25 Million Points","TurboGrafx-16/PC Engine","JPN / NTSC",1,1379.0,"2021-07-23","https://www.youtube.com/watch?v=rE6Gz2wrWYY","Played on a TG-16 with TBED."
"Magical Chase","Bumpy","TurboGrafx-16/PC Engine","USA / NTSC",1,1536.0,"2021-07-09","https://youtu.be/L3CfALAjMNU","Played on a TG-16 with TBED."
"Golf Grand Slam","Tournament Any%","Nintendo Entertainment System","JPN / NTSC",10,822.0,"2021-06-15","https://youtu.be/yspnUSClsyU","Played on a front-loader with EDN8."
"Golf Ko Open","Any%","Nintendo Entertainment System","JPN / NTSC",1,790.0,"2021-06-15","https://youtu.be/ckTEahjze4o","Played on a front-loader with EDN8."
"Tonight We Riot","Any%","PC","USA / NTSC",2,151.0,"2021-06-12","https://youtu.be/UYgKQEY9SNg","Played using the itch.io release with mouse and keyboard.  Uses Skippity Skip, Skip to skip from 1-2 to the final boss, and Corporate Takeover to skip fighting phase three of the final boss."
"Legend of Hero Tonma","Any%","TurboGrafx-16/PC Engine","JPN / NTSC",2,348.0,"2021-05-27","https://youtu.be/B9KRl44KHV0","Played on a TurboGrafx 16 with a TBED."
"Venture","All Unique Treasures","ColecoVision","",1,159.417,"2021-05-15","https://youtu.be/LvVaKhxz_sQ","Played on MiSTer."
"Venture","All Unique Treasures","ColecoVision","",1,165.3,"2021-05-15","https://youtu.be/Fp2sMHfxw3c","Played on MiSTer."
"Venture","All Unique Treasures","ColecoVision","",1,281.634,"2021-05-15","https://youtu.be/bV0eHP9_bfs","Played on MiSTer."
"Venture","All Unique Treasures","ColecoVision","",1,147.217,"2021-05-14","https://youtu.be/CDp6JXRsMB0","Played on MiSTer."
"Venture","Full Treasure List","ColecoVision","",1,476.717,"2021-05-14","https://youtu.be/XIlE-yEd-yA","Played on MiSTer."
"Tonight We Riot","All Levels","PC","USA / NTSC",1,1549.0,"2021-05-05","https://www.youtube.com/watch?v=98LSHLVISWw","Played on Windows with itch.io release, using an XBox 360 controller."
"Godzilla Domination!","Any% JP","Game Boy Advance","JPN / NTSC",1,521.0,"2021-05-02","https://youtu.be/I1_jiUZApn8","Played on MiSTer."
"Godzilla Domination!","Any% US","Game Boy Advance","USA / NTSC",1,581.0,"2021-04-25","https://youtu.be/AeOgQoJ9ZWk","Played on MiSTer."
"Caveman Games","All WRs","Nintendo Entertainment System","USA / NTSC",3,265.317,"2021-04-18","https://youtu.be/HEBW19fLxTc","Played on a front-loader NES with EDN8.  Frame counted in avidemux.  Confirmed that ""GRONK NEW RECORD"" appears for each event after the clubbing event."
"Ninja Golf","Any%","Atari 7800","USA / NTSC",2,815.0,"2021-03-29","https://youtu.be/IJP3ak-D4XU","Played on MiSTer."
"Ninja Golf","Any%","Atari 7800","USA / NTSC",1,980.0,"2021-03-16","https://youtu.be/P2aehCNoQmw","Played on MiSTeR."
"Ninja Golf","Any%","Atari 7800","USA / NTSC",1,942.0,"2021-03-16","https://youtu.be/gy8h14qlvZQ","Played on MiSTeR."
"Ninja Golf","Any%","Atari 7800","USA / NTSC",1,914.0,"2021-03-16","https://youtu.be/n6ANVbMJjtY","Played on MiSTeR."
"Wheel of Fortune (Wii)","Versus Win","Wii","USA / NTSC",1,454.0,"2021-02-07","https://youtu.be/ISEY9dU-hYg","Played on a Wii with original disc."
"Space Invaders (Atari 5200)","1 Loop","Atari 5200","USA / NTSC",1,251.0,"2021-01-26","https://youtu.be/ONm-1IeAm_4","Played on MiSTer."
"Space Invaders (Atari 5200)","5,200 points","Atari 5200","USA / NTSC",1,396.0,"2021-01-26","https://youtu.be/ONm-1IeAm_4","Played on MiSTer."
"Space Invaders (Atari 5200)","1 Loop","Atari 5200","USA / NTSC",1,234.0,"2021-01-26","https://youtu.be/KlnFtMx_XC0","Played on MiSTer."
"Space Invaders (Atari 5200)","5,200 points","Atari 5200","USA / NTSC",1,372.0,"2021-01-26","https://youtu.be/Qru4Ul9lNkQ","Played on MiSTer."
"Space Invaders (Atari 5200)","20,000 points.","Atari 5200","USA / NTSC",1,1094.0,"2021-01-26","https://youtu.be/Qru4Ul9lNkQ","Played on MiSTer."
"Kangaroo (Arcade)","Atari 2600","Atari 2600","USA / NTSC",1,77.0,"2021-01-26","https://youtu.be/Xu8j18iUelY","Played on MiSTer."
"Kangaroo (Arcade)","Atari 2600","Atari 2600","USA / NTSC",1,74.867,"2021-01-26","https://youtu.be/59nkdDh-i0s","Played on MiSTer."
"Space Invaders (Atari 5200)","1 Loop","Atari 5200","USA / NTSC",1,241.0,"2021-01-25","https://youtu.be/lrqDAdK9kyM","Played on MiSTer."
"Space Invaders (Atari 5200)","5,200 points","Atari 5200","USA / NTSC",1,398.0,"2021-01-25","https://youtu.be/lrqDAdK9kyM","Played on MiSTer."
"Space Invaders (Atari 5200)","1 Loop","Atari 5200","USA / NTSC",1,257.0,"2021-01-25","https://youtu.be/AARyMwFD3No","Played on MiSTer."
"Space Invaders (Atari 5200)","5,200 points","Atari 5200","USA / NTSC",1,413.0,"2021-01-25","https://youtu.be/AARyMwFD3No","Played on MiSTer."
"Space Invaders (Atari 5200)","1 Loop","Atari 5200","USA / NTSC",1,253.0,"2021-01-24","https://youtu.be/Pt3DzGEMdbo","Played on MiSTer."
"Space Invaders (Atari 5200)","5,200 points","Atari 5200","USA / NTSC",1,400.0,"2021-01-24","https://youtu.be/Pt3DzGEMdbo","Played on MiSTer."
"Space Invaders (Atari 5200)","1 Loop","Atari 5200","USA / NTSC",1,250.0,"2021-01-24","https://youtu.be/o9H3wYsKFvQ","Played on MiSTer."
"Space Invaders (Atari 5200)","5,200 points","Atari 5200","USA / NTSC",1,404.0,"2021-01-24","https://youtu.be/o9H3wYsKFvQ","Played on MiSTer."
"Space Invaders (Atari 5200)","1 Loop","Atari 5200","USA / NTSC",1,240.0,"2021-01-24","https://youtu.be/g-bHWM6HxBw","Played on MiSTer."
"Space Invaders (Atari 5200)","1 Loop","Atari 5200","USA / NTSC",1,243.0,"2021-01-24","https://youtu.be/Q_9X_vNC3WY","Played on MiSTer."
"Space Invaders (Atari 5200)","5,200 points","Atari 5200","USA / NTSC",1,370.0,"2021-01-24","https://youtu.be/Q_9X_vNC3WY","Played on MiSTer."
"Space Invaders (Atari 5200)","5,200 points","Atari 5200","USA / NTSC",1,413.0,"2021-01-23","https://youtu.be/_TBMx_KUIos","Played on MiSTer."
"Space Invaders (Atari 5200)","5,200 points","Atari 5200","USA / NTSC",1,399.0,"2021-01-23","https://youtu.be/dNCh_HtFwhw","Played on MiSTer."
"Space Invaders (Atari 5200)","1 Loop","Atari 5200","USA / NTSC",1,255.0,"2021-01-23","https://youtu.be/_TBMx_KUIos","Played on MiSTer."
"Space Invaders (Atari 5200)","1 Loop","Atari 5200","USA / NTSC",1,251.0,"2021-01-23","https://youtu.be/dNCh_HtFwhw","Played on MiSTer."
"Space Invaders (Atari 5200)","5,200 points","Atari 5200","USA / NTSC",1,386.0,"2021-01-23","https://youtu.be/sOyCNyahN7A","Played on MiSTer."
"Space Invaders (Atari 5200)","5,200 points","Atari 5200","USA / NTSC",1,380.0,"2021-01-23","https://youtu.be/hFz47Fxu-WU","Played on MiSTer."
"Space Invaders (Atari 5200)","1 Loop","Atari 5200","USA / NTSC",1,232.0,"2021-01-23","https://youtu.be/vkUvbmUNJuk","Played on MiSTer."
"Space Invaders (Atari 5200)","1 Loop","Atari 5200","USA / NTSC",1,226.0,"2021-01-23","https://youtu.be/hFz47Fxu-WU","Played on MiSTer."
"Time Pilot","Colecovision 1-Loop","ColecoVision","USA / NTSC",2,163.17,"2021-01-22","https://youtu.be/_JkA7yUUOUo","Played on MiSTer."
"Ultimate QIX / Volfied","Mode A","Sega Genesis","USA / NTSC",1,1249.3,"2021-01-18","https://youtu.be/C9gaXqCDZ5I","Played on a Genesis v2 with MegaSD."
"Devil's Crush","Genesis","Sega Genesis","JPN / NTSC",2,37.2,"2021-01-13","https://youtu.be/a9grAo-EZcI","Played on a Genesis Model 2 with MegaSD."
"Candy Land, Chutes and Ladders, Memory","Memory","Game Boy Advance","USA / NTSC",3,44.0,"2021-01-10","https://youtu.be/8KXNioFpdgM","Played on MiSTer."
"Candy Land, Chutes and Ladders, Memory","Candy Land","Game Boy Advance","USA / NTSC",2,47.0,"2021-01-10","https://youtu.be/ha25pSDEOP0","Played on MiSTer."
"Candy Land, Chutes and Ladders, Memory","Candy Land","Game Boy Advance","USA / NTSC",5,66.0,"2021-01-10","https://youtu.be/VqMoueABdvM","Played on MiSTer."
"Candy Land, Chutes and Ladders, Memory","Memory","Game Boy Advance","USA / NTSC",2,79.0,"2021-01-10","https://youtu.be/9Q0eqep5GjM","https://youtu.be/9Q0eqep5GjM"
"Candy Land, Chutes and Ladders, Memory","Chutes & Ladders","Game Boy Advance","USA / NTSC",9,120.0,"2021-01-10","https://youtu.be/WcAE13QRns0","Played on MiSTer."
"Candy Land, Chutes and Ladders, Memory","Chutes & Ladders","Game Boy Advance","USA / NTSC",4,122.0,"2021-01-10","https://youtu.be/scT8n-vINe4","Played on MiSTer."
"Candy Land, Chutes and Ladders, Memory","Memory","Game Boy Advance","USA / NTSC",2,151.0,"2021-01-10","https://youtu.be/We8eF0kOcDo","Played on MiSTer."
"Candy Land, Chutes and Ladders, Memory","Memory","Game Boy Advance","USA / NTSC",2,256.0,"2021-01-10","https://youtu.be/dE_j8mbICag","Played on MiSTer."
"Jeopardy! Sports Edition (SNES)","CPU%","Super Nintendo","",5,1994.0,"2020-12-22","https://www.youtube.com/watch?v=DaGaaX2gUsk","Played on an SNS-001 with SD2SNES."
