"place","game","category","subcategory(s)","variable(s)","platformname","regionname","players","time","date","video","comment"
11.0,"Super Solitaire","Free Cell","No Mouse","","Super Nintendo","","baldnate",251.0,"2021-08-29","https://youtu.be/FnyM3XdZ64A","Played on an SNS-001 with SD2SNES and gamepad."
4.0,"Super Solitaire","Golf","Dead King -- No Mouse","","Super Nintendo","","baldnate",72.0,"2021-08-29","https://youtu.be/EnAiEkuWK8Q","Played on an SNS-001 with SD2SNES and gamepad."
7.0,"Super Solitaire","Klondike","1 Flip -- No Mouse","","Super Nintendo","","baldnate",140.0,"2021-08-28","https://youtu.be/7pADwt4V-Js","Played on an SNS-001 with SD2SNES and gamepad."
4.0,"Super Solitaire","Poker","No Mouse","100","Super Nintendo","","baldnate",0.1,"2021-08-28","https://youtu.be/3dP4e1yJXLs","Played on an SNS-001 with SD2SNES and gamepad."
1.0,"Alien Crush","10 Million Points","","","TurboGrafx-16/PC Engine","JPN / NTSC","baldnate",498.0,"2021-07-23","https://www.youtube.com/watch?v=rE6Gz2wrWYY","Played on a TG-16 with TBED."
1.0,"Alien Crush","25 Million Points","","","TurboGrafx-16/PC Engine","JPN / NTSC","baldnate",1379.0,"2021-07-23","https://www.youtube.com/watch?v=rE6Gz2wrWYY","Played on a TG-16 with TBED."
1.0,"Magical Chase","Bumpy","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",1536.0,"2021-07-09","https://youtu.be/L3CfALAjMNU","Played on a TG-16 with TBED."
10.0,"Golf Grand Slam","Tournament Any%","","","Nintendo Entertainment System","JPN / NTSC","baldnate",822.0,"2021-06-15","https://youtu.be/yspnUSClsyU","Played on a front-loader with EDN8."
1.0,"Golf Ko Open","Any%","","","Nintendo Entertainment System","JPN / NTSC","baldnate",790.0,"2021-06-15","https://youtu.be/ckTEahjze4o","Played on a front-loader with EDN8."
2.0,"Tonight We Riot","Any%","","","PC","USA / NTSC","baldnate",151.0,"2021-06-12","https://youtu.be/UYgKQEY9SNg","Played using the itch.io release with mouse and keyboard.  Uses Skippity Skip, Skip to skip from 1-2 to the final boss, and Corporate Takeover to skip fighting phase three of the final boss."
2.0,"Legend of Hero Tonma","Any%","TG-16/PC-Engine","","TurboGrafx-16/PC Engine","JPN / NTSC","baldnate",348.0,"2021-05-27","https://youtu.be/B9KRl44KHV0","Played on a TurboGrafx 16 with a TBED."
1.0,"Venture","All Unique Treasures","Skill 2","","ColecoVision","","baldnate",159.417,"2021-05-15","https://youtu.be/LvVaKhxz_sQ","Played on MiSTer."
1.0,"Venture","All Unique Treasures","Skill 3","","ColecoVision","","baldnate",165.3,"2021-05-15","https://youtu.be/Fp2sMHfxw3c","Played on MiSTer."
1.0,"Venture","All Unique Treasures","Skill 4","","ColecoVision","","baldnate",281.634,"2021-05-15","https://youtu.be/bV0eHP9_bfs","Played on MiSTer."
1.0,"Venture","All Unique Treasures","Skill 1","","ColecoVision","","baldnate",147.217,"2021-05-14","https://youtu.be/CDp6JXRsMB0","Played on MiSTer."
1.0,"Venture","Full Treasure List","Skill 1","","ColecoVision","","baldnate",476.717,"2021-05-14","https://youtu.be/XIlE-yEd-yA","Played on MiSTer."
1.0,"Tonight We Riot","All Levels","","","PC","USA / NTSC","baldnate",1549.0,"2021-05-05","https://www.youtube.com/watch?v=98LSHLVISWw","Played on Windows with itch.io release, using an XBox 360 controller."
1.0,"Godzilla Domination!","Any% JP","","","Game Boy Advance","JPN / NTSC","baldnate",521.0,"2021-05-02","https://youtu.be/I1_jiUZApn8","Played on MiSTer."
1.0,"Godzilla Domination!","Any% US","","","Game Boy Advance","USA / NTSC","baldnate",581.0,"2021-04-25","https://youtu.be/AeOgQoJ9ZWk","Played on MiSTer."
